"order";"family";"feature";"data_set";"tolerance";"case_def"
1;"Diagnostics-initial image";"Image dimension x";"case_1";0;"B"
1;"Diagnostics-initial image";"Image dimension x";"case_2";0;"B"
1;"Diagnostics-initial image";"Image dimension x";"case_3";0;"B"
1;"Diagnostics-initial image";"Image dimension x";"case_4";0;"B"
1;"Diagnostics-initial image";"Image dimension x";"case_5";0;"B"
2;"Diagnostics-initial image";"Image dimension y";"case_1";0;"B"
2;"Diagnostics-initial image";"Image dimension y";"case_2";0;"B"
2;"Diagnostics-initial image";"Image dimension y";"case_3";0;"B"
2;"Diagnostics-initial image";"Image dimension y";"case_4";0;"B"
2;"Diagnostics-initial image";"Image dimension y";"case_5";0;"B"
3;"Diagnostics-initial image";"Image dimension z";"case_1";0;"B"
3;"Diagnostics-initial image";"Image dimension z";"case_2";0;"B"
3;"Diagnostics-initial image";"Image dimension z";"case_3";0;"B"
3;"Diagnostics-initial image";"Image dimension z";"case_4";0;"B"
3;"Diagnostics-initial image";"Image dimension z";"case_5";0;"B"
4;"Diagnostics-initial image";"Voxel dimension x";"case_1";0;"B"
4;"Diagnostics-initial image";"Voxel dimension x";"case_2";0;"B"
4;"Diagnostics-initial image";"Voxel dimension x";"case_3";0;"B"
4;"Diagnostics-initial image";"Voxel dimension x";"case_4";0;"B"
4;"Diagnostics-initial image";"Voxel dimension x";"case_5";0;"B"
5;"Diagnostics-initial image";"Voxel dimension y";"case_1";0;"B"
5;"Diagnostics-initial image";"Voxel dimension y";"case_2";0;"B"
5;"Diagnostics-initial image";"Voxel dimension y";"case_3";0;"B"
5;"Diagnostics-initial image";"Voxel dimension y";"case_4";0;"B"
5;"Diagnostics-initial image";"Voxel dimension y";"case_5";0;"B"
6;"Diagnostics-initial image";"Voxel dimension z";"case_1";0;"B"
6;"Diagnostics-initial image";"Voxel dimension z";"case_2";0;"B"
6;"Diagnostics-initial image";"Voxel dimension z";"case_3";0;"B"
6;"Diagnostics-initial image";"Voxel dimension z";"case_4";0;"B"
6;"Diagnostics-initial image";"Voxel dimension z";"case_5";0;"B"
7;"Diagnostics-initial image";"Mean intensity";"case_1";0;"B"
7;"Diagnostics-initial image";"Mean intensity";"case_2";0;"B"
7;"Diagnostics-initial image";"Mean intensity";"case_3";0;"B"
7;"Diagnostics-initial image";"Mean intensity";"case_4";0;"B"
7;"Diagnostics-initial image";"Mean intensity";"case_5";0;"B"
8;"Diagnostics-initial image";"Minimum intensity";"case_1";0;"B"
8;"Diagnostics-initial image";"Minimum intensity";"case_2";0;"B"
8;"Diagnostics-initial image";"Minimum intensity";"case_3";0;"B"
8;"Diagnostics-initial image";"Minimum intensity";"case_4";0;"B"
8;"Diagnostics-initial image";"Minimum intensity";"case_5";0;"B"
9;"Diagnostics-initial image";"Maximum intensity";"case_1";0;"B"
9;"Diagnostics-initial image";"Maximum intensity";"case_2";0;"B"
9;"Diagnostics-initial image";"Maximum intensity";"case_3";0;"B"
9;"Diagnostics-initial image";"Maximum intensity";"case_4";0;"B"
9;"Diagnostics-initial image";"Maximum intensity";"case_5";0;"B"
10;"Diagnostics-interpolated image";"Image dimension x";"case_1";0.65;"B"
10;"Diagnostics-interpolated image";"Image dimension x";"case_2";0.65;"B"
10;"Diagnostics-interpolated image";"Image dimension x";"case_3";0.65;"B"
10;"Diagnostics-interpolated image";"Image dimension x";"case_4";0;"B"
10;"Diagnostics-interpolated image";"Image dimension x";"case_5";0.65;"B"
11;"Diagnostics-interpolated image";"Image dimension y";"case_1";0.7;"B"
11;"Diagnostics-interpolated image";"Image dimension y";"case_2";0.7;"B"
11;"Diagnostics-interpolated image";"Image dimension y";"case_3";0.7;"B"
11;"Diagnostics-interpolated image";"Image dimension y";"case_4";0;"B"
11;"Diagnostics-interpolated image";"Image dimension y";"case_5";0.7;"B"
12;"Diagnostics-interpolated image";"Image dimension z";"case_1";0;"B"
12;"Diagnostics-interpolated image";"Image dimension z";"case_2";0;"B"
12;"Diagnostics-interpolated image";"Image dimension z";"case_3";0;"B"
12;"Diagnostics-interpolated image";"Image dimension z";"case_4";0;"B"
12;"Diagnostics-interpolated image";"Image dimension z";"case_5";0;"B"
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_1";0;"B"
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_2";0;"B"
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_3";0;"B"
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_4";0;"B"
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_5";0;"B"
14;"Diagnostics-interpolated image";"Voxel dimension y";"case_1";0;"B"
14;"Diagnostics-interpolated image";"Voxel dimension y";"case_2";0;"B"
14;"Diagnostics-interpolated image";"Voxel dimension y";"case_3";0;"B"
14;"Diagnostics-interpolated image";"Voxel dimension y";"case_4";0;"B"
14;"Diagnostics-interpolated image";"Voxel dimension y";"case_5";0;"B"
15;"Diagnostics-interpolated image";"Voxel dimension z";"case_1";0;"B"
15;"Diagnostics-interpolated image";"Voxel dimension z";"case_2";0;"B"
15;"Diagnostics-interpolated image";"Voxel dimension z";"case_3";0;"B"
15;"Diagnostics-interpolated image";"Voxel dimension z";"case_4";0;"B"
15;"Diagnostics-interpolated image";"Voxel dimension z";"case_5";0;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_1";1.97469673156738;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_2";1.97223739624023;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_3";1.97226219177246;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_4";0;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_5";1.97231178283691;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_1";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_2";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_3";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_4";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_5";1.0625;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_1";25.975;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_2";22.375;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_3";20.1;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_4";0;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_5";24.275;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_1";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_2";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_3";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_4";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_5";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_1";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_2";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_3";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_4";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_5";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_1";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_2";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_3";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_4";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_5";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_1";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_2";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_3";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_4";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_5";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_1";0;"B"
