"order";"family";"feature";"data_set";"tolerance"
1;"Diagnostics-initial image";"Image dimension x";"case_1";0
1;"Diagnostics-initial image";"Image dimension x";"case_2";0
1;"Diagnostics-initial image";"Image dimension x";"case_3";0
1;"Diagnostics-initial image";"Image dimension x";"case_4";0
1;"Diagnostics-initial image";"Image dimension x";"case_5";0
2;"Diagnostics-initial image";"Image dimension y";"case_1";0
2;"Diagnostics-initial image";"Image dimension y";"case_2";0
2;"Diagnostics-initial image";"Image dimension y";"case_3";0
2;"Diagnostics-initial image";"Image dimension y";"case_4";0
2;"Diagnostics-initial image";"Image dimension y";"case_5";0
3;"Diagnostics-initial image";"Image dimension z";"case_1";0
3;"Diagnostics-initial image";"Image dimension z";"case_2";0
3;"Diagnostics-initial image";"Image dimension z";"case_3";0
3;"Diagnostics-initial image";"Image dimension z";"case_4";0
3;"Diagnostics-initial image";"Image dimension z";"case_5";0
4;"Diagnostics-initial image";"Voxel dimension x";"case_1";0
4;"Diagnostics-initial image";"Voxel dimension x";"case_2";0
4;"Diagnostics-initial image";"Voxel dimension x";"case_3";0
4;"Diagnostics-initial image";"Voxel dimension x";"case_4";0
4;"Diagnostics-initial image";"Voxel dimension x";"case_5";0
5;"Diagnostics-initial image";"Voxel dimension y";"case_1";0
5;"Diagnostics-initial image";"Voxel dimension y";"case_2";0
5;"Diagnostics-initial image";"Voxel dimension y";"case_3";0
5;"Diagnostics-initial image";"Voxel dimension y";"case_4";0
5;"Diagnostics-initial image";"Voxel dimension y";"case_5";0
6;"Diagnostics-initial image";"Voxel dimension z";"case_1";0
6;"Diagnostics-initial image";"Voxel dimension z";"case_2";0
6;"Diagnostics-initial image";"Voxel dimension z";"case_3";0
6;"Diagnostics-initial image";"Voxel dimension z";"case_4";0
6;"Diagnostics-initial image";"Voxel dimension z";"case_5";0
7;"Diagnostics-initial image";"Mean intensity";"case_1";0
7;"Diagnostics-initial image";"Mean intensity";"case_2";0
7;"Diagnostics-initial image";"Mean intensity";"case_3";0
7;"Diagnostics-initial image";"Mean intensity";"case_4";0
7;"Diagnostics-initial image";"Mean intensity";"case_5";0
8;"Diagnostics-initial image";"Minimum intensity";"case_1";0
8;"Diagnostics-initial image";"Minimum intensity";"case_2";0
8;"Diagnostics-initial image";"Minimum intensity";"case_3";0
8;"Diagnostics-initial image";"Minimum intensity";"case_4";0
8;"Diagnostics-initial image";"Minimum intensity";"case_5";0
9;"Diagnostics-initial image";"Maximum intensity";"case_1";0
9;"Diagnostics-initial image";"Maximum intensity";"case_2";0
9;"Diagnostics-initial image";"Maximum intensity";"case_3";0
9;"Diagnostics-initial image";"Maximum intensity";"case_4";0
9;"Diagnostics-initial image";"Maximum intensity";"case_5";0
10;"Diagnostics-interpolated image";"Image dimension x";"case_1";0.65
10;"Diagnostics-interpolated image";"Image dimension x";"case_2";0.65
10;"Diagnostics-interpolated image";"Image dimension x";"case_3";0.65
10;"Diagnostics-interpolated image";"Image dimension x";"case_4";0.65
10;"Diagnostics-interpolated image";"Image dimension x";"case_5";0.65
11;"Diagnostics-interpolated image";"Image dimension y";"case_1";0.7
11;"Diagnostics-interpolated image";"Image dimension y";"case_2";0.7
11;"Diagnostics-interpolated image";"Image dimension y";"case_3";0.7
11;"Diagnostics-interpolated image";"Image dimension y";"case_4";0.7
11;"Diagnostics-interpolated image";"Image dimension y";"case_5";0.7
12;"Diagnostics-interpolated image";"Image dimension z";"case_1";0
12;"Diagnostics-interpolated image";"Image dimension z";"case_2";0
12;"Diagnostics-interpolated image";"Image dimension z";"case_3";0
12;"Diagnostics-interpolated image";"Image dimension z";"case_4";0
12;"Diagnostics-interpolated image";"Image dimension z";"case_5";0
13;"Diagnostics-interpolated image";"Voxel dimension x";"case_1";0
